"Local", "Área da unidade territorial"
"Jucás", 940.336
"Senador Sá", 424.642
"Morada Nova", 2822.836
"Chaval", 237.240
"Pentecoste", 1379.836
"Camocim", 1120.449
"Chorozinho", 296.431
"Nova Olinda", 282.584
"Choró", 815.268
"Cascavel", 838.115
"Beberibe", 1596.750
"Ibiapina", 414.092
"Ibicuitinga", 423.856
"Itatira", 829.225
"Potengi", 343.264
"Baixio", 145.556
"Alcântaras", 135.760
"Banabuiú", 1080.986
"Quiterianópolis", 1022.896
"Icapuí", 421.442
"Potiretama", 409.137
"Coreaú", 750.333
"Martinópole", 303.445
"Pacatuba", 133.223
"Pereiro", 449.741
"Uruburetama", 103.478
"Groaíras", 155.681
"São João do Jaguaribe", 279.451
"Missão Velha", 613.317
"Aquiraz", 480.236
"Pindoretama", 74.033
"Guaiúba", 256.053
"Catarina", 488.153
"Bela Cruz", 842.106
"Jardim", 544.995
"Jaguaretama", 1826.826
"Quixadá", 2020.586
"Barbalha", 608.142
"Altaneira", 72.675
"Palhano", 436.980
"Solonópole", 1535.855
"Catunda", 784.022
"Icó", 1865.860
"Barreira", 260.237
"Crateús", 2981.461
"Pacoti", 112.433
"Uruoca", 697.683
"Jati", 368.357
"General Sampaio", 230.371
"São Luís do Curu", 122.865
"Varjota", 179.239
"Mombaça", 2105.518
"Russas", 1505.726
"Caucaia", 1223.200
"Graça", 258.943
"Pedra Branca", 1328.779
"Santa Quitéria", 4262.293
"Jijoca de Jericoacoara", 209.029
"Tururu", 197.193
"Mucambo", 192.190
"Várzea Alegre", 829.976
"Cariús", 1036.417
"Barro", 711.346
"Guaramiranga", 90.817
"Itapipoca", 1596.225
"Barroquinha", 385.590
"Poranga", 1310.768
"Assaré", 1155.124
"Acopiara", 2254.279
"Capistrano", 226.549
"Maranguape", 583.505
"Orós", 577.526
"Saboeiro", 1381.274
"Penaforte", 150.536
"Ubajara", 423.673
"Granja", 2663.176
"São Benedito", 350.847
"Meruoca", 151.651
"Salitre", 806.253
"Carnaubal", 363.212
"Baturité", 314.075
"Viçosa do Ceará", 1310.910
"Itapiúna", 593.231
"Porteiras", 224.860
"Aurora", 885.870
"Aiuaba", 2438.563
"Itarema", 714.833
"Hidrolândia", 926.592
"Ibaretama", 879.255
"Marco", 573.610
"Horizonte", 160.557
"Granjeiro", 111.528
"Pacajus", 250.305
"Umari", 263.185
"Jaguaruana", 854.360
"São Gonçalo do Amarante", 842.680
"Ipaumirim", 276.508
"Umirim", 315.647
"Fortaleza", 312.353
"Milagres", 579.097
"Miraíma", 708.678
"Redenção", 247.989
"Milhã", 502.137
"Fortim", 285.024
"Parambu", 2313.867
"Apuiarés", 543.980
"Tauá", 4010.618
"Tejuçuoca", 758.706
"Santana do Acaraú", 972.551
"Cariré", 755.597
"Sobral", 2068.474
"Itaiçaba", 213.603
"Moraújo", 414.446
"Aratuba", 119.758
"Abaiara", 180.833
"Itaitinga", 153.686
"Campos Sales", 1082.582
"Lavras da Mangabeira", 945.263
"Nova Russas", 736.911
"Acarape", 129.767
"Reriutaba", 372.949
"Paramoti", 539.238
"Tianguá", 909.853
"Ipu", 626.049
"Frecheirinha", 210.284
"Santana do Cariri", 855.159
"Massapê", 567.780
"Caririaçu", 634.179
"Itapajé", 436.320
"Arneiroz", 1068.437
"Acaraú", 842.470
"Quixelô", 620.242
"Guaraciaba do Norte", 624.610
"Limoeiro do Norte", 794.689
"Morrinhos", 411.608
"Madalena", 998.182
"Aracati", 1227.196
"Piquet Carneiro", 589.601
"Canindé", 3032.390
"Ipueiras", 1483.263
"Maracanaú", 105.084
"Novo Oriente", 954.384
"Ocara", 763.075
"Pires Ferreira", 244.464
"Boa Viagem", 2835.037
"Trairi", 928.726
"Iguatu", 977.311
"Crato", 1138.150
"Mauriti", 1079.011
"Quixeramobim", 3302.144
"Cruz", 335.921
"Alto Santo", 1147.209
"Palmácia", 128.896
"Tabuleiro do Norte", 1047.637
"Croatá", 696.351
"Eusébio", 78.818
"Deputado Irapuan Pinheiro", 471.134
"Ereré", 349.033
"Jaguaribara", 622.963
"Pacujá", 88.355
"Amontada", 1175.044
"Iracema", 839.174
"Senador Pompeu", 963.257
"Monsenhor Tabosa", 892.538
"Aracoiaba", 643.988
"Ararendá", 342.301
"Cedro", 729.970
"Brejo Santo", 654.658
"Juazeiro do Norte", 258.788
"Mulungu", 97.951
"Quixeré", 609.439
"Paracuru", 304.736
"Antonina do Norte", 259.706
"Tamboril", 2011.782
"Independência", 3237.132
"Farias Brito", 530.540
"Ipaporanga", 704.773
"Jaguaribe", 1877.062
"Paraipaba", 289.231
"Forquilha", 568.778
"Caridade", 926.271
"Tarrafas", 412.719
"Irauçuba", 1466.412
"Araripe", 1097.345
